metro;Meter / U-Bahn, Metro
chino;chinesisch / Chinese
estar sentado;sitzen
barato;billig
café;Café
seco;trocken
vela;Kerze, Licht
conserje, portero;Hausmeister / Portier
farmacia, botica;Apotheke
taller;Atelier, Werkstatt
veinte;zwanzig
sueño;Schlaf / Traum
protestar;anfechten, beanstanden, Einspruch erheben, protestieren
agua;Wasser
asunto;Angelegenheit, Ding, Sache, Werk
diez y nueve;neunzehn
panecillo;Brötchen
mismo;gar, ja, selbst, sogar
vidrio;Glas
moto;Kraftfahrrad, Motorrad
pensar, acordarse;denken
semejante;ähnlich
subir;einsteigen / aufgehen, sich erheben, steigen / ersteigen
agujero;Loch
sed;Durst
cerdo;Schwein
criminal;Kriminal..., kriminell
monedas;Kleingeld
nombre;Name
tranvía;Straßenbahn
voluntariamente;bereit, bereitwillig, gern
ayuntamiento;Rathaus
casada, casado;verheiratet
final, término;Ende
recelocaz, sospecha, recelo;Argwohn, Verdacht
profundo;tief
siglo;Jahrhundert
decisión;Beschluss, Entschluss
americano;amerikanisch / Amerikaner
cubo;Eimer
lápiz;Bleistift
sabido, notorio;bekannt
nacimiento;Geburt
cómodo;gemütlich / innig, intim, vertraulich, vertraut
informar;Auskunft geben, benachrichten, informieren, mitteilen / anschließen, verbinden / angeben, verkünden, ankündigen
triste, afligido;betrübt, traurig / düster
Bélgica;Belgien
caso;Fall
revista;Zeitschrift / Revue
ridículo;lächerlich
amigo;Freund
dentista;Zahnarzt
tren;Zug / Eisenbahnzug
solo;allein, alleinig, bloß, einzig
anillo;Ring
