der, die, das;the
jdn/etw voneinander trennen, jdn/etw trennen v;part v
Wirklichkeit, Wahrheit, Tatsache, Faktum n;fact n
Stern, Star n;star n
sich sonnen, etw der Sonne aussetzen v;sun v
Fenster, Schaufenster, Gelegenheit, Zeitfenster n;window n
Sonne n;sun n
Holz, kleiner Wald n;wood n
Zweite(r), zweite(r), an zweiter Stelle adj;second adj
brechen, durchbrechen, zerbrechen v;break (broke - broken) v
etw klären, etw beseitigen, etw räumen, etw abräumen, etw löschen, etw reinigen v;clear v
nächste, nächster, nächstes (in einer Reihe) adj;next adj
Feuer, Brand n;fire n
Stoß, Schubs, Druck, Anstoß n;push n
breit, grob (i. S. v. Verallgemeinerung), umfassend, allgemein, weitreichend, ausgedehnt, tolerant, großzügig adj;broad adj
steinern, aus Stein adj;stone adj
links, linke(r, s) adj;left adj
von Belang sein, von Bedeutung sein, von Wichtigkeit sein v;matter v
Gespür, Gefühl, Berühren, Anfassen n;feel n
ermüden, müde machen v;tire v
Haar, Härchen, Behaarung, Haar-... n;hair n
Frühling, Frühjahr, Quelle, Springen, Satz, Feder n;spring n
schieben, drängeln, drängen, stoßen, schubsen, drücken (Tür) v;push v
Patsche, Klemme, Position (Seefahrt) n;fix n
Drehung, Kurve, Wende, Wendung, Reihe, Reihenfolge n;turn n
Licht, Beleuchtung, Leuchte n;light n
letzte(r), vorige(r) adj;last adj
Wind n;wind n
zuerst, als Erste(r, s), erstens adv;first adv
beschreiben, darstellen, abbilden, sich vorstellen v;picture v
klingen, erklingen, tönen, ertönen, sich anhören als v;sound v
Lachen, Spaß, Stimmungsmacher(in), Pausenclown n;laugh n
Oberteil, oberes Ende, Spitze, Gipfel, Kreisel n;top n
tausend, eintausend adj;thousand adj
Mauer, Wand, Einfriedung, Mantel (eines Reifens) n;wall n
füllen, einfüllen, ausfüllen, erfüllen, plombieren v;fill v
traurig sein, Leid tun adj;sorry adj
Alter, Lebensdauer, Lebenserwartung, Zeitalter n;age n
Zuhause, Heim, Heim-..., Heimat n;home n
langsam, flau, begriffsstutzig, langsamer werden adj;slow adj
Wechsel, Veränderung, Wechselgeld n;change n
Wille, Testament n;will n
Tisch, Tafel, Tischrunde, Tabelle, Tafelland, Plateau, Hochebene, Tabelle v;table v
schweizerisch adj;Swiss adj
kalt, betont kühl, kühl adj;cold adj
gelb adj;yellow adj
verlassen, fortgehen, weggehen, abfahren, abreisen, abfliegen, zurücklassen, aufbrechen v;leave (left - left) v
sich nähern, näher rücken v;near v
gerecht, gerechtfertigt, angemessen, berechtigt, begründet adj;just adj
Luft, Atmosphäre, Auftreten, Miene, Melodie n;air n
Liebe, Vorliebe, Leidenschaft, Liebling, Schatz n;love n
Geräusch, Ton, Laut, Schall, Klang, Meeresenge, Sund, Meeresarm n;sound n
trinken v;drink (drank - drunk) v
Jagd, Jagdgesellschaft, Jagdrevier, Suche n;hunt n
zeugen, die Vaterschaft anerkennen für, Urheber sein v;father v
Lauf, Strecke, Verlauf, Auflage (Produktion), Ansturm, Laufmasche (AmE) n;run n
Telefonanruf, Anruf, Telefongespräch, Telefonat, Aufruf, Forderung, Berufung, Nachfrage n;call n
anbringen, in Ordnung bringen, befestigen, festmachen, anbringen v;fix v
Schlag, Schicksalsschlag, Blasen, Pusten n;blow n
lächeln v;smile v
österreichisch adj;Austrian adj
grau adj;grey (BrE), gray (AmE) adj
einundzwanzig adj;twenty-one adj
Bett, Lager, Flöz, Unterbau n;bed n
schlafen v;sleep (slept - slept) v
braun adj;brown adj
Ziehen, Zugkraft, Einfluss, Anstrengung n;pull n
Rest, Pause, Ruhepause, Erholung n;rest n
färben, streichen, bemalen, ausmalen v;colour (BrE), color (AmE) v
Stein, Baustein, Edelstein, Steingrau, Stein-... n;stone n
Gesicht, Gesichtsausdruck, Angesicht, Zifferblatt, Bildseite (Spielkarte), Vorderseite (Münze) n;face n
Spaziergang, Wanderung, Gang n;walk n
springen, springen über, überspringen, auslösen, ausgelöst werden, hervorquellen, hervorsprießen v;spring (sprang - sprung), jump v
Arm, Ärmel, Armlehne n;arm n
Ritt, Ausritt, Fahrt n;ride n
Weiß, Weiße(r), Eiweiß, Eiklar n;white n
dreißig adj;thirty adj
Farbe, Gesichtsfarbe, Hautfarbe n;colour (BrE), color (AmE) n
still, ruhig, bewegungslos, regungslos, reglos adj;still adj
Niemand, Nichts n;nobody n
jdn mit etw bewaffnen, sich für etw wappnen, aufrüsten, rüsten, etw scharf machen (Waffen) v;arm v
jdn/etw beobachten, auf jdn/etw aufpassen, jdn/etw im Auge behalten, auf etw achten, zusehen, zuschauen, aufpassen v;watch v
dunkel, finster adj;dark adj
Bedürfnis, Bedarf, Notwendigkeit n;need n
Regen n;rain n
Größe, Größen n;great - greats n
Nahrung, Essen, Nahrungsmittel, Futter n;food n
warm, herzlich adj;warm adj
dankbar, froh sein, erfreut sein, glücklich sein adj;glad adj
Nichts, Null (Mathematik) n;nothing n
weinen, heulen, schreien v;cry v
