der, die, das;the
Wetter, Wetterlage, Witterung n;weather n
die Toten n;dead n
jdn freilassen, jdn befreien v;free v
Finger n;finger n
nett, hübsch, schöne, freundlich, sympathisch, ... adj;nice adj
anzünden, abfeuern, feuern v;fire v
Schlag, Klopfen, Schlagen, Pochen, Takt n;beat n
linieren, säumen, füttern (Stoff), auskleiden, beziehen, auslegen v;line v
Schwester, Kollegin, Schwesterschiff, Ordensschwester n;sister n
schneiden, zuschneiden, anschneiden, durchschneiden, abschneiden v;cut (cut - cut) v
brennen, verbrennen v;burn v
das Gute n;good n
gesund, wohlauf adj;well adj
Kälte, Schnupfen, Erkältung n;cold n
Halt, Stopp, Stoppen, Aufenthalt, Pause, Haltestelle n;stop n
Geliebte, Mätresse, Herrin, Gebieterin, Lehrerin n;mistress n
Pass, Zuspiel, Bestehen n;pass n
Blut, Vorfahren n;blood n
ausfragen, befragen, verhören v;question v
Ohr, Gehör, Ähre (Getreide) n;ear n
Bruch, Sprung, Riss, Lücke, Spalt, Unterbrechung, Pause, Ferien n;break n
heben, hochziehen, hissen, wecken, aufwecken, wecken, beschaffen (Geld), aufziehen (Kinder) v;raise v
Schlägertyp, Schurke, dunkles Bier (BrE) n;heavy n
Nase, Riecher, Bug (Schiff, Flugzeug) n;nose n
vierte adj;4th, fourth adj
zu Hause, daheim;at home
Blume, Blüte n;flower n
bedecken, abdecken, zudecken v;cover v
Kleid, Kleidung n;dress n
Lohn, Gehalt, Sold, Bezüge, Besoldung n;pay n
Sprung, Absprung, Sprung-Hindernis, Hindernis n;jump n
Gehaltserhöhung, Lohnerhöhung, Erhöhung n;raise n
Jäger n;hunter n
Weinen, Schrei, Ruf nach etw, Schreien (Zoologie), Geschrei n;cry n
die Armen n;poor n
vierzig adj;forty adj
fünfzig adj;fifty adj
vorsichtig, sachte adv;easy adv
bedecken, übersteigen, den Gipfel erreichen, den höchsten Punkt erreichen v;top v
schwimmen v;swim (swam - swum) v
obere(r, s), oberste(r, s), höchste(r, s) adj;top adj
Betreuung, Pflege, Versorgung, Obhut, Sorgfalt n;care n
Hochgehen, Heben, Aufgehen, Steigen, Aufstieg, Anhöhe, Erhebung n;rise n
Katze n;cat n
pflanzen, einpflanzen, anpflanzen, bepflanzen, platzieren v;plant v
"Kurzfilm, Kurzer (Elektrizität), Kurzer (Alkohol), ""Kurzer"" n";short n
Englisch n;English n
Mund, Maul (Tiere), Öffnung, Krater, Mündung n;mouth n
Gebrauch, Benutzung, Verwendung, Nutzen n;use n
aufwachen, aufwecken, wecken, erwecken v;wake (woke - woken) v
Stuhl, Sessel, Lehrstuhl (Universität) n;chair n
zurückhalten v;hold back, keep back v
Lächeln n;smile n
einkaufen, Einkäufe machen v;shop v
Brot, Brotsorte, Hostie n;bread n
fünfte adj;5th, fifth adj
blasen, pusten, wehen v;blow (blew - blown) v
Bezug, Deckel, Abdeckung, Schutzkappe, Hülle, Decke, Plane, Bettdecke, Einband, Umschlag (Buch), Deckung, Gedeck (BrE) n;cover n
fünfzehn adj;fifteen adj
Österreicher(in) n;Austrian n
in etw hineingehen, in etw eindringen, etw eingeben, etw eintragen, beitreten, etw einreichen v;enter v
gemein, fies, gehässig, hinterhältig, geizig, knauserig, kleinlich, durchschnittlich adj;mean adj
erhellen, beleuchten, leuchten, Licht einschalten, anzünden v;light (lit - lit, lighted - lighted) v
Reiche(r) n;rich n
Stille, Standfoto, Einzelaufnahme n;still n
Hunger n;hunger n
hungern v;hunger v
Aufenthalt, Stag (Segelboot) n;stay n
Trinken, Getränk, Drink (alkoholisch) n;drink n
achtzehnte adj;18th, eighteenth adj
Lachen, Gelächter n;laughter n
wärmen v;warm v
Protokoll, Notizen n;minutes n
Bibel, Evangelium n;Bible n
Fliege (Zoologie) n;fly n
Hals, Nacken, Genick n;neck n
anziehen, kleiden, ankleiden v;dress v
müde, abgegriffen, überdrüssig adj;tired adj
am wenigsten, geringste(r, s), wenigste(r, s);least
Schlaf n;sleep n
Haut, Fell, Schale, Pelle, Außenhaut n;skin n
beschriften, mit Buchstaben versehen v;letter v
zu einer Geldbuße verurteilen, mit einer Geldbuße belegen, Bußgeld verhängen gegen v;fine v
Winter-... adj;winter adj
der/die/das Gleiche, der-/die- dasselbe;the same
Dunkelheit n;dark n
süß, lieblich, angenehm, niedlich, goldig adj;sweet adj
Nächste(r, s) n;next n
Muss, Muffigkeit, Most n;must n
Weile, Weilchen n;while n
langsamer fahren, langsamer gehen, langsamer werden, verlangsamen, abbremsen, Maschine drosseln adj;slow (down) adj
Geldstrafe, Geldbuße, Bußgeld n;fine n
Verbrennung, Brandwunde n;burn n
vierzehn adj;fourteen adj
waschen, spülen, abwaschen, aufwischen v;wash v
sechzig adj;sixty adj
hungrig adj;hungry adj
Dose, Büchse, Kanister, Kanne n;can n
hinunter, hinab, herunter, herab, im Süden, runter adv;down adv
Brunnen, Ölquelle, Bohrloch n;well n
Armbanduhr, Wache n;watch n
Tropfen n;drop n
Pater n;Father n
Lebensunterhalt, Unterhalt, Bergfried, Burgverlies n;keep n
beißen, anbeißen (Fisch) v;bite (bit - bitten) v
zwanzigste adj;20th, twentieth adj
dreizehn adj;thirteen adj
Ziehung, Ausspielung, Auslosung, Unentschieden (Sport) n;draw n
regnen v;rain v
sechste adj;6th, sixth adj
siebzig adj;seventy adj
achtzig adj;eighty adj
aufziehen, großziehen, zur Welt bringen, bemuttern v;mother v
zehnte adj;10th, tenth adj
geschnitten, aufgeschnitten, gemäht, ermäßigt, herabgesetzt adj;cut adj
Wäsche, Abwasch n;wash n
achte adj;8th, eighth adj
siebte adj;7th, seventh adj
achtzehn adj;eighteen adj
neunzig adj;ninety adj
Biss, Insektenbiss, Insektenstich, Schärfe, Anbeißen n;bite n
siebzehn adj;seventeen adj
Kielwasser, Gefolge, Totenwache n;wake n
inländisch, Inland-..., Binnen-... adj;home adj
fünfzehnte adj;15th, fifteenth adj
verwittern, verblassen v;weather v
dreißigste adj;30th, thirtieth adj
erbitten v;ask for v
Hundertster, Hundertstel n;hundredth n
häuten, schälen, enthäuten, Haut abschürfen, abschürfen v;skin v
siebzehnte adj;17th, seventeenth adj
sechzigste adj;60th, sixtieth adj
neunzehnte adj;19th, nineteenth adj
Fang, Fangen, Fischzug n;catch n
besiedelt, bevölkert v;people v
hundertste adj;100th, hundredth adj
neunzigste adj;90th, ninetieth adj
achtzigste adj;80th, eightieth adj
Göttin n;goddess n
entblößen, freimachen, fletschen (Zähne) v;bare v
tausendste adj;1,000th, thousandth adj
Blut-... adj;blood adj
elfte adj;11th, eleventh adj
panieren v;bread v
dreizehnte adj;13th, thirteenth adj
tapezieren v;paper v
vierzehnte adj;14th, fourteenth adj
neunte adj;9th, ninth adj
sechzehnte adj;16th, sixteenth adj
knutschen, schmusen v;neck v
Sommer-... adj;summer adj
siebzigste adj;70th, seventieth adj
Uhrzeit n;time (of day) n
vierzigste adj;40th, fortieth adj
fünfzigste adj;50th, fiftieth adj
zwölfte adj;12th, twelfth adj
sechszehn adj;sixteen adj
vierundzwanzig adj;twenty-four adj
siebenundzwanzigste adj;27th, twenty-seventh adj
fünfundzwanzigste adj;25th, twenty-fifth adj
fünfundzwanzig adj;twenty-five adj
millionste adj;1,000,000th, millionth adj
einundzwanzigste adj;21st, twenty-first adj
zweiundzwanzig adj;twenty-two adj
dreiundzwanzig adj;twenty-three adj
vierundzwanzigste adj;24th, twenty-fourth adj
von ... bis, von ... nach;from ... to ...
sechsundzwanzig adj;twenty-six adj
zweiundzwanzigste adj;22nd, twenty-second adj
sechsundzwanzigste adj;26th, twenty-sixth adj
dreiunddreißig adj;thirty-three adj
dreiundzwanzigste adj;23rd, twenty-third adj
zweiunddreißig adj;thirty-two adj
das Warme n;warm n
einundvierzig adj;forty-one adj
einunddreißig adj;thirty-one adj
verängstigt, leider, ich bedaure, befürchten dass adj;afraid adj
feindlich, des Feindes adv;enemy adv
eine(r, s) (von beiden), beide (jeder von beiden);either
über .. hinaus, jenseits ... von, nach;beyond
Uhr (nicht am Arm) n;clock n
folglich, so, auf diese Weise, so weit;thus
groß (i. S. v. hochgeschossen) adj;tall adj
egal wie, wie auch immer, jedoch, aber, doch;however
wenn nicht, es sei denn, falls nicht;unless
ihre(r, -s);hers
bereits, schon adj;already adj
frisch, neu, erneut adj;fresh adj
verkaufen, handeln mit, dealen, Spielkarten geben v;deal (dealt - dealt) v
beabsichtigen, fest vorhaben, wollen v;intend v
sauber, stubenrein, anständig, klar, neu adj;clean adj
existieren, leben, geben, vorhanden sein adj;exist adj
vergangen, frühere(r, s), vergangene(r, s), vorüber, vorbei, an ... vorbei (räumlich), nach (zeitlich), jenseits von etw sein, über ... hinaus adj;past adj
passen, jdn stehen v;suit v
Million n;million n
viel, viele, eine Menge;a lot of
menschlich, des Menschen adj;human adj
für immer, ewig adv;forever adv
entfernt, weit, weit entfernt adj;distant adj
jdn/etw entdecken, jdn/etw sehen, jdn/etw finden v;spot v
jedoch, doch, obwohl, obgleich;though
ganz, vollständig adj;entire adj
breit, weit, groß, umfangreich, vielfältig, breit gefächert adj;wide adj
viel, reichlich, mehr als genug, eine Menge;plenty (of)
anbieten (kommerziell), bieten, geben, aussprechen, einreichen, sich bewerben (kommerziell) v;tender v
formen, entwickeln, gestalten, bilden, machen v;form v
teilnehmen an (z. B. Kursus), besuchen, gehen auf, anwesend sein v;attend v
gehorchen, sich an etw halten, befolgen v;obey v
Frau, Ehefrau n;wife - wives n
keine(r, s), niemand, niemand (als);none
ganz, total, völlig adv;entirely adv
lose, weit, locker, beweglich adj;loose adj
bedienen, zuarbeiten, waren (Auto usw.) v;service v
spielen (um Geld), verspielen v;game v
Bowling spielen, bowlen, kegeln v;bowl v
gleich (i. S. v. vergleichen), gleich viel, gleich groß, gleichberechtigt adj;equal adj
begünstigen, bevorzugen, für gut halten v;favour (BrE), favor (AmE) v
je, jemals, schon einmal adv;ever adv
Nation, Staat, Land n;nation n
Wandtafel (weiß), Weißwandtafel n;whiteboard n
Regierung n;government n
schmelzen, zum Schmelzen bringen, zergehen lassen, erweichen v;melt v
teilen, gemeinsam haben, gemeinsam tragen, gemeinsam benutzen v;share v
besonders, vor allem, hauptsächlich adv;especially adv
etwas, ein wenig;a little
Polizei n;police n
bestehen (aus) v;consist (of) v
auf die Strafbank schicken, auf die Reservebank setzen v;bench v
kosten v;cost (cost - cost) v
handeln, fungieren, vertreten, sich verhalten, spielen (Theater) v;act v
jetzt, gegenwärtig, augenblicklich, aktuell, derzeitig adj;current adj
jdn erinnern (an) v;remind (of) v
bebauen, halten (Nutztiere), züchten (Nutztiere) v;farm v
schlagen, treffen v;hit (hit - hit) v
jdn setzen, jdm einen Platz anweisen, etw einpassen v;seat v
könnte, könntest, könnten, könntet v;might v
Blatt, Seite n;page n
schnell (i. S. v. Geschwindigkeit) adj;fast adj
etw fragen, sich fragen, wundern, staunen v;wonder v
sollte, solltest, sollten, solltet;ought (to)
sollte, solltest, sollten, solltet v;should v
wegen etw, aufgrund von etw, infolge von etw n;owing to n
laut adv;aloud adv
Firma, Unternehmen, Betrieb n;firm n
in der Tat, tatsächlich, wirklich, allerdings;indeed
bekommen, erhalten, empfangen, gewinnen, erfahren v;receive v
erklären, erläutern, sich rechtfertigen v;explain v
wellig, werden lassen, wellen, entstellen, verzerren, verwinden, sich wellen, sich verziehen, sich werfen v;warp v
Erde, Erdreich, Erdboden, Boden, Land n;soil n
sonst, sonst noch, andere(r, s), außerdem, andernfalls;else
natürlich, Natur-..., Roh-..., naheliegend (fig) adj;natural adj
wichtig, bedeutend adj;important adj
mit dem Auto fahren, motoren v;motor v
leiten, führen, verwalten, zustande bringen, es schaffen, es fertig bringen, gelingen, zurechtkommen v;manage v
gegenüber, entgegengesetzt, auf der anderen Seite, auf der gegenüberliegenden Seite adv;opposite adv
schwer, schlimm, heftig, stark adj;severe adj
gewinnen, siegen, etw erwerben v;win (won - won) v
kaum, wohl kaum, schwerlich adv;hardly adv
wählen, dafür stimmen etw zu tun, abstimmen v;vote v
etw tragen, bei sich tragen, mit sich führen, etw ertragen, etw erdulden, aushalten v;bear (bore - borne) v
heute Abend, heute Nacht adv;tonight adv
etw entfernen, etw streichen, ausnehmen von etw, nehmen aus etw, etw entfernen v;remove v
plötzlich, auf einmal, abrupt, unerwartet adv;suddenly, sudden adv
erwarten, rechnen mit v;expect v
weder ... noch;neither ... nor
Grund, Anlass, Ursache, Anlass, Sache, Fall (Gericht) n;cause n
üben, trainieren, an etw arbeiten, etw (üblicherweise) machen, praktizieren v;practise (BrE), practice (AmE) v
steif, statt, hart, fest adj;stiff adj
Mai n;May n
öffentlich, staatlich adj;public adj
malen, anmalen, streichen, anstreichen v;paint v
Erfolg n;success n
am Leben sein, lebendig, lebend adj;alive adj
teilen, aufteilen, teilen (Mathematik), dividieren, zuteilen, spalten, trennen v;divide v
Spiel, Wild n;game n
September n;September n
Bank (zum Sitzen), Richterbank n;bench n
nicht haben, fehlen v;lack v
leicht (i. S. v. geringfügig, unbedeutend) adj;slight adj
Juni n;June n
jdn/etw führen, jdn/etw leiten, die Leitung innehaben, vorangehen, anführen v;lead (led - led) v
Straße (Verkehrsweg), Landstraße n;road n
jdn führen, jdn anleiten, jdn unterweisen, jdn lenken, jdn steuern v;guide v
Preis, Geldpreis n;price n
packen, fassen, ergreifen, nehmen, beschlagnahmen v;seize v
Oktober n;October n
entscheiden, entschließen, beschließen v;decide v
fast, beinahe, annähernd adv;nearly adv
Trinkgeld geben, tippen auf, setzen auf, tippen (Finger) v;tip v
eigentlich, tatsächlich, wirklich adv;actually adv
schließlich, zuletzt, endlich adv;finally adv
Beispiel, Vorbild n;example n
Januar n;January n
Anfang, Beginn n;beginning n
März n;March n
sich vorstellen, sich denken, sich ausmalen, sich denken, etw glauben v;imagine v
Dollar n;dollar n
fahren, steuern, lenken, antreiben v;drive (drove - driven) v
November n;November n
erfolgreich, mit Erfolg adv;successfully adv
vergleichen, sich vergleichen lassen v;compare v
Kosten, Preis n;cost - costs n
Boden, Talsohle, unteres Ende, Grund, Hinterteil, Hintern, Unterseite n;bottom n
Platz, Sitzplatz, Sitz n;seat n
Mann, Kerl, Typ, Freund, Kamerad, Kumpel, Kollege, Fellow, Mit-... (z. B. Bürger) n;fellow n
wahrscheinlich, möglich, geeignet adj;likely adj
August n;August n
Juli n;July n
vielleicht, möglicherweise adv;perhaps adv
Markt n;market n
auflaufen lassen (Schiff), auf Grund setzen, aus dem Verkehr ziehen (Flugzeug), erden (AmE), gründen v;ground v
Entwicklung n;development n
sich Sorgen machen, sich sorgen v;worry v
(sich) beeilen, laufen, eilen v;hurry v
entscheiden, regeln, erledigen, beilegen, schlichten, ausräumen, sich einigen, begleichen, ausgleichen, beruhigen, legen, stellen, unterbringen, besiedeln, ansiedeln v;settle v
Musik n;music n
Naturtalent, Naturell, Einfallspinsel, Auflösungszeichen (Musik) n;natural n
andauern, weitergehen, andauern (zeitlich), anhalten (zeitlich), weitermachen, fortfahren, fortsetzen, bleiben v;continue v
Teil, Anteil, Portion, Aktie n;share n
April n;April n
Handel treiben, handeln v;trade v
auswählen, wählen, aussuchen, entscheiden v;choose (chose - chosen) v
sicher, bestimmt, gewiss adj;certain adj
korrekt, richtig, genau adj;correct adj
planen, vorhaben, entwerfen v;plan v
zukünftig, künftig, kommend, später, zu einem späteren Zeitpunkt adj;future adj
Schultafel (schwarz), Wandtafel (schwarz) n;blackboard n
Dezember n;December n
darlegen, vortragen, angeben, nennen v;state v
leer, frei, unausgefüllt adj;empty adj
etw anbieten, etw bieten, etw vorbringen, darbringen, opfern v;offer v
Eigentum, Besitz, Eigenschaft, Haus, Wohnung, Gebäude n;property n
Platz, Stelle, Position, Stellung, Lage, Ort, Standort n;position n
Krieg n;war n
deshalb, deswegen, daher, folglich adv;therefore adv
Existenz, Bestehen, Vorkommen, Leben n;existence n
knapp, eng (Kleidung) adj;tight adj
Freude, Erfolg (BrE) n;joy n
verbilligen, herabsetzen, schlecht machen v;cheapen v
kreisen, kreisen um, umgehen v;circle v
Gesetzt, Recht, Jura, die Polizei, Naturgesetz n;law n
etw gerne mögen, etw gerne machen v;be fond of v
Gruppe, Konzern, Ensemble n;group n
später, danach, anschließend, nachher adv;afterwards adv
tragen (Kleider), anhaben v;wear (wore - worn) v
etw schmecken, etw probieren, etw kosten, (einmal) etw erleben v;taste v
zugeben, gestehen, (sich) bekennen v;admit v
suchen, durchsuchen, absuchen, durchforschen v;search v
Gast n;guest n
Streichholz, Zündholz, Spiel (Sport) n;match n
fest, straff, sicher, stabil adj;firm adj
zurück, rückwärts, nach hinten adv;backwards adv
trotz, ungeachtet;in spite of
strecken, dehnen, ausweiten, weiten, weiter werden v;stretch v
reisen v;journey v
Möglichkeit, Aussicht auf etw, Chance auf etw n;possibility n
Raum, Platz, Weltraum, Weltall, Leerzeichen (Computer) n;space n
Eltern n;parents n
über etw nachdenken, erwägen, berücksichtigen, bedenken, mit dem Gedanken tragen, betrachten, an etw denken v;consider v
Sorte, Art, Sortieren, Sortiervorgang n;sort n
verschieden, verschiedene, mehrere adj;various adj
unsere(r, -s);ours
Aufgabe, Übungsaufgabe n;task n
erfolgreich sein, Erfolg haben, gelingen v;succeed v
Zukunft, das Futur n;future n
grenzen an, begrenzen, umschließen v;border v
jdn/etw schützen, beschützen, wahren, sichern v;protect v
Angelegenheit, Sache, Geschichte, Affäre, Verhältnis (sexuell) n;affair n
Zustand, Lage, Status, Aggregatzustand, Staat n;state n
verbinden, anschließen, in Verbindung bringen, in Zusammenhang bringen v;connect (with) v
früher, damals, pflegte zu ... adj;used to adj
einfach, schlicht, klar, offensichtlich, rein, pur adj;plain adj
Kirche, die Kirche, Gottesdienst n;church n
