rest n;Rest, Pause, Ruhepause, Erholung n
colour (BrE), color (AmE) v;färben, streichen, bemalen, ausmalen v
stone n;Stein, Baustein, Edelstein, Steingrau, Stein-... n
face n;Gesicht, Gesichtsausdruck, Angesicht, Zifferblatt, Bildseite (Spielkarte), Vorderseite (Münze) n
walk n;Spaziergang, Wanderung, Gang n
spring (sprang - sprung), jump v;springen, springen über, überspringen, auslösen, ausgelöst werden, hervorquellen, hervorsprießen v
arm n;Arm, Ärmel, Armlehne n
ride n;Ritt, Ausritt, Fahrt n
white n;Weiß, Weiße(r), Eiweiß, Eiklar n
thirty adj;dreißig adj
colour (BrE), color (AmE) n;Farbe, Gesichtsfarbe, Hautfarbe n
still adj;still, ruhig, bewegungslos, regungslos, reglos adj
nobody n;Niemand, Nichts n
arm v;jdn mit etw bewaffnen, sich für etw wappnen, aufrüsten, rüsten, etw scharf machen (Waffen) v
watch v;jdn/etw beobachten, auf jdn/etw aufpassen, jdn/etw im Auge behalten, auf etw achten, zusehen, zuschauen, aufpassen v
dark adj;dunkel, finster adj
need n;Bedürfnis, Bedarf, Notwendigkeit n
rain n;Regen n
great - greats n;Größe, Größen n
food n;Nahrung, Essen, Nahrungsmittel, Futter n
warm adj;warm, herzlich adj
glad adj;dankbar, froh sein, erfreut sein, glücklich sein adj
nothing n;Nichts, Null (Mathematik) n
cry v;weinen, heulen, schreien v
weather n;Wetter, Wetterlage, Witterung n
dead n;die Toten n
