worthless;wertlos
to spring;quellen, entspringen, springen
to wash up;aufwaschen
acquaintance;Bekanntschaft, Bekannter, Begriff, Kenntnis, Kenntnisse
to call out;ausrufen
writing-desk, writing desk;Schreibtisch
lanky, of high stature;groß, hoch
yours;der deine, die deine, das deine, der euere, der Ihre
Madrid;Madrid
translation;Übersetzung, Übertragung
copy;Exemplar, Abdruck, Abschrift, Kopie, Nachbildung
to hunt for, to hunt after;verfolgen, jagen
indigenous;heimatlich, einheimisch
tangerine;Mandarine
trifle;Bagatelle, Kleinigkeit
Scotland;Schottland
Watt, watt;Watt
to be afraid of, to fear;befürchten, sich ängstigen, zagen
yesterday;gestern, gestrig
together with;zuzüglich, außerdem
background;Hintergrund
to take a shower;sich duschen
admiration;Bewunderung
to bathe;baden, ein Bad nehmen
to constitute;bilden, formen, ausmachen
proximity;Nähe, Nachbarschaft
extensive;weit, umfassend, ausgedehnt, geräumig
to address;adressieren, ansprechen
great-uncle;Großonkel
story;Etage, Geschoss, Stock, Stockwerk, Geschichte, Historie, Erzählung
approximately;annähernd, etwa, ungefähr
water;Wasser..., Wasser
ceremony;Feierlichkeit, Förmlichkeit, Zeremonie, Feier, Festlichkeit
sheaf;Bund, Bündel, Büschel, Garbe, Strauß
breeding;Erziehung, Zucht, Züchtung
Psyche;Psyche
elephant;Elefant
splinter;Splitter
to drop;fallen, fällen
normal;Norm-, normgerecht, normgemäß, normiert, genormt, normal
communication;Bericht, Mitteilung, Nachricht, Auskunft, Bekanntmachung
material;materiell, Material, Zutat, Stoff, Zeug
assertion;Behauptung
yearly;jährlich, alljährlich
prison, gaol;Gefängnis, Verlies
copious, profuse, plentiful, abundant;reichlich
Israel;Israel
Egypt;Ägypten
happy;glücklich, froh
cotton;Kattun, Baumwolle
lecture;Lektion, Unterrichtseinheit, Vorlesung, Vortrag
perplexed, taken aback;bestürzt, ratlos, fassungslos, unschlüssig, perplex, verdutzt
scientific;wissenschaftlich
team;Mannschaft, Team
formerly, previously;früher, zuvor
one more time, encore;noch einmal
Hesse;Hessen
to race;eilen, rennen, wettrennen
philosophy;Philosophie
to conquer;erobern
Elbe;Elbe
berry;Beere
vice versa, back and forth;hin und her
policeman;Polizist, Schutzmann
to have a bath;baden, ein Bad nehmen
arbitrary;beliebig, eigenmächtig, willkürlich
Talmud;Talmud
Antarctic Ocean;Antarktischer Ozean
fist;Faust
administrative;Verwaltungs-
to kindle;zünden, entzünden
bread and butter;Butterbrot
to walk;gehen, laufen, marschieren, treten, besteigen
Jewish;hebräisch, jüdisch
tenor;Tenor
to perform;erscheinen, eintreten, anfertigen, herstellen, leiten, machen, tun, zurücklegen, ausführen, bestellen, erfüllen, leisten
ceremonious, solemn;feierlich, festlich
addled;faul, faulig, albern, dumm
keepsake, memento, souvenir;Andenken, Erinnerung
individual;individuell, Einzelwesen, Individuum
square metre;Quadratmeter
wing;Fittich, Flügel
co-;aneinander-
twins;Zwillinge
millimetre;Millimeter
archaeological;archäologisch
theory;Theorie
to make music;musizieren
Hebrew;hebräisch, Hebräer, Jude, Hebräisch, hebräische Sprache
quantity;Menge, Quantität
line;Angelleine, Linie, Strich, Zeile, Kette, Reihe, Reihenfolge, Tour
specimen, sample;Muster, Probe, Probestück
altruism;Uneigennützigkeit, Altruismus
to be inclined;neigen zu
region;Bereich, Gebiet, Gegend, Region
look;Anblick, Aussehen, Aspekt, da, hier, hier ist, siehe, Blick, Einsicht
